SH,D49919,Amazon.com,"17-0712 I5 Casino",5/8/2018,Miscellaneous,"$175.25 ","Misc Cabling and hardware",
GR,D49920,Amazon.com,"17-0455 Multnomah County",5/2/2018,Miscellaneous,"$18.99 ","Samsung Galaxy S5 Otterbox Case",
GR,D49921,Amazon.com,"Facebook Upstream 18-0794",5/2/2018,Miscellaneous,"$344.26 ","2 ASUS 27"" monitors",
GR,D49922,Amazon.com,"Eugene Office",5/2/2018,Miscellaneous,"$498.00 ","43"" Sony 4K TV",
SH,D49923,Amazon.com,17-0497,5/2/2018,Miscellaneous,"$337.74 ","Printer for I5 Casino",
SH,D49924,Amazon.com,17-0497,5/1/2018,Miscellaneous,"$782.04 ","Displays for I5 Casino",
SH,D49925,Amazon.com,"Upstream PRN 5/6",5/1/2018,Miscellaneous,"$73.96 ","Keyboard/mouse and HDMI cables for John and Gary office",
SR,D49926,"Apple Store",18-0766,05/04/2018,Software,"$9.99 ","1x Bluebeam Revu license for iPad",
SR,D49927,PlanGrid.com,18-0794,05/07/2018,Software,"$59.00 ","1x PlanGrid Dozer license for Justin Herring",
SH,D49928,Amazon.com,17-0594,05/07/2018,Miscellaneous,"$194.54 ","Docking station for Sean Brith",
SH,D49929,Amazon.com,17-0712,05/08/2018,Miscellaneous,"$584.99 ","Cell booster for parking garage",
SR,D49930,Amazon.com,Corporate,05/08/2018,Miscellaneous,"$109.90 ","2x Plugable USB 3.0 Dual Head Graphics Adapters",
SR,D49931,Amazon.com,17-0697,05/08/2018,Miscellaneous,"$416.47 ","1x ASUS VE278H 27"" LED Monitor, 1x Lenovo W540 A/C Adapter, 1x Lenovo ThinkPad Ultra Dock for Dave Bienhoff",
SR,D49932,Amazon.com,18-0794,05/08/2018,Miscellaneous,"$171.27 ","1x ASUS VE278H 27"" LED Monitor for Charles Hendrix",
SR,D49933,Amazon.com,Reno,05/08/2018,Miscellaneous,"$67.95 ","1x Crucial 8GB Single DDR3/DDR3L 1600 MT/S (PC-12800) SODIMM RAM for Jerrid Schneider",
SR,D49934,Amazon.com,16-9599,05/08/2018,Miscellaneous,"$67.21 ","1x Lenovo W540 A/C Adapter for Sean Lindh docking station",
JM,D49935,SHI,Corp,05/08/2018,Network,"$4,772.59 ","Core-access uplink redundancy for panel plant and auxiliary building",
SH,D49936,Amazon.com,"OHSU 17-0027",05/09/2018,Miscellaneous,"$207.79 ","iPad chargers, keyboard/mouse combo's",
MM,D49937,Goodsync,Corp,05/09/2018,Software,"$199.00 ","Goodsync Enterprise Maintenance",
SR,D49938,Amazon.com,Corp,05/10/2018,Miscellaneous,"$109.98 ","2x Plugable USB 3.0 Dual Head Graphics Adapters",
GR,D49939,Amazon.com,"Sea Office",05/10/2018,Printer,"$337.74 ","Brother MFCJ6935 Printer",
GR,D49940,Amazon.com,"Eug Office",05/11/2018,Miscellaneous,"$177.99 ","Docking Station for W540",
GR,D49941,PlanGrid.com,17-0497,05/11/2018,Software,"$39.00 ","Nail Gun License for Aaron Ohnstad",
